Release,FileName,sizeLoc,locTouched,numR,numFix,numAuth,locAdded,avgLocAdded,maxLocAdded,churn,maxChurn,avgChurn,age,weightedAge,Bugginess
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,101,137,5,1,3,127,127.0,127,127,127,42.333332,35,0.25547445255474455,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,129,152,3,0,2,148,148.0,148,148,148,49.333332,35,0.23026315789473684,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,53,59,2,0,2,58,58.0,58,58,58,29.0,35,0.5932203389830508,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,140,152,2,0,2,149,149.0,149,149,149,49.666668,35,0.23026315789473684,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,64,78,2,0,2,74,74.0,74,74,74,14.8,35,0.44871794871794873,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,32,37,1,0,1,37,18.5,37,37,37,18.5,35,0.9459459459459459,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,33,40,2,0,2,38,38.0,38,38,38,12.666667,35,0.875,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,34,40,2,0,2,39,39.0,39,39,39,19.5,35,0.875,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,82,107,4,0,2,95,95.0,95,95,95,15.833333,35,0.32710280373831774,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,77,91,3,0,2,87,87.0,87,87,87,29.0,35,0.38461538461538464,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,64,78,4,0,2,70,70.0,70,70,70,23.333334,35,0.44871794871794873,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,102,123,4,0,2,113,113.0,113,113,113,28.25,35,0.2845528455284553,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,317,417,6,2,3,329,329.0,329,326,326,81.5,35,0.08393285371702638,true
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,76,93,4,0,2,83,83.0,83,83,83,27.666666,35,0.3763440860215054,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,49,63,3,0,2,58,58.0,58,58,58,19.333334,35,0.5555555555555556,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,112,130,4,0,2,122,122.0,122,122,122,24.4,35,0.2692307692307692,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,332,14,1,0,1,9,3.0,8,9,9,4.875,2,0.14285714285714285,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,211,243,5,0,2,224,224.0,224,224,224,32.0,35,0.1440329218106996,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,541,645,4,0,2,585,585.0,585,585,585,58.5,35,0.05426356589147287,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,333,390,5,0,2,365,365.0,365,365,365,45.625,35,0.08974358974358974,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,88,108,4,0,2,98,98.0,98,98,98,19.6,35,0.32407407407407407,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,35,41,1,0,1,41,20.5,41,41,41,20.5,35,0.8536585365853658,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,54,79,2,0,2,65,65.0,65,65,65,10.833333,35,0.4430379746835443,false
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,47,55,3,0,3,54,27.0,45,54,45,27.0,35,0.6363636363636364,false
