Dataset,#TrainingRelease,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,FeatureSelection,Sensitivity,TP,FP,TN,FN,Precision,Recall,ROC,Kappa
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,OVERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,92.0,347.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,127.0,312.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,127.0,312.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,RANDOM_FOREST,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,99.0,340.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,101.0,338.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,101.0,338.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,IBK,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,55.0,384.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,NO_SENSITIVE,0.0,388.0,51.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_THRESHOLD,0.0,388.0,51.0,0.0,0.0,0.0,0.0,0.0
Bookkeeper,2,55.521782,13.686131,0.0,NAIVE_BAYES,UNDERSAMPLING,NO_SELECTION,SENSITIVE_LEARNING,0.0,346.0,93.0,0.0,0.0,0.0,0.0,0.0
