ShadID; Commit; Message; Ticket; Date; Authors; Version; Files
4fd5f814ddac4a1c6c11f31256a942871b00e3d0;commit 4fd5f814ddac4a1c6c11f31256a942871b00e3d0 1673423344 -----sp;[docs] update parameter in manual deployment page (#3573);;2023-01-11;FeiFan Wang;14;
49ca9fe3b13d0b4f82579e5023d98928a4f4bb74;commit 49ca9fe3b13d0b4f82579e5023d98928a4f4bb74 1673422491 -----sp;BP-60:Change PCBC limitStatsLogging default value to true (#3719);;2023-01-11;wenbingshen;14;
c64dbcd305df4bd2cdd33cc7c7cf8831a0a10aaa;commit c64dbcd305df4bd2cdd33cc7c7cf8831a0a10aaa 1673420892 -----sp;Upgrade Netty to 4.1.86.Final (#3669);;2023-01-11;Lari Hotari;14;
ce229a4ce078c9541f80df2bc5021c007efdbfff;commit ce229a4ce078c9541f80df2bc5021c007efdbfff 1673401006 -----sp;Add 4.14.6 release note (#3659);;2023-01-11;Hang Chen;14;
05378442f776febf9f8ef49f10779a9e39438bd5;commit 05378442f776febf9f8ef49f10779a9e39438bd5 1672907357 -----sp;[improve][doc] improve bk_server.conf docs (#3715);;2023-01-05;Paul Gier;14;
03ba1883df998ce6848200d11fd141fb801d9382;commit 03ba1883df998ce6848200d11fd141fb801d9382 1672907003 -----sp;Expose registrationClient in DefaultBookieAddressResolver (#3724);;2023-01-05;Yan Zhao;14;
405e72acf42bb1104296447ea8840d805094c787;commit 405e72acf42bb1104296447ea8840d805094c787 1672145273 -----sp;unify SLASHSTAR_STYLE for licenses in Java files (#3717);;2022-12-27;ZhangJian He;14;
032aef7e75f6b3487a6611a2b8af8306b9a3f7bb;commit 032aef7e75f6b3487a6611a2b8af8306b9a3f7bb 1671744146 -----sp;[FEATURE] Added api/v1/bookie/cluster_info REST API;;2022-12-22;Andrey Yegorov;14;
1ce1bedfbfe645ff39b611bd92ae07dce5ae59c5;commit 1ce1bedfbfe645ff39b611bd92ae07dce5ae59c5 1671728885 -----sp;Added new way to self-invite to BK Slack (#3712);;2022-12-22;Matteo Merli;14;
c31e3997ba012d4860bb8150952d17b2a4cae482;commit c31e3997ba012d4860bb8150952d17b2a4cae482 1671698127 -----sp;refactor ByteBuf release usage (#3698);;2022-12-22;Qiang Huang;14;
700c5281e8e74dbbe2660eb9fea1b52c1e035400;commit 700c5281e8e74dbbe2660eb9fea1b52c1e035400 1671698109 -----sp;[refactor][bookkeeper] Refactor ByteBuf release method in bookkeeper-server (#3700);;2022-12-22;Qiang Huang;14;
5194c5bbd62783dfb6f0b9c3a521194b4092e670;commit 5194c5bbd62783dfb6f0b9c3a521194b4092e670 1671698077 -----sp;[refactor][bookkeeper] Refactor ByteBuf release method in stream/storage (#3703);;2022-12-22;Qiang Huang;14;
dd80e967e7d3dc6873231a7bc04feaba83be54c3;commit dd80e967e7d3dc6873231a7bc04feaba83be54c3 1671673732 -----sp;[fix][server] When dbStorage_directIOEntryLogger=true, EntryLogIdsImpl only takes effect for a single ledger directory (#3680);;2022-12-22;LinChen;14;
44edbd10b79f6d573d147758a84007d9499e30fe;commit 44edbd10b79f6d573d147758a84007d9499e30fe 1670986221 -----sp;fix docker compose deployment (#3660);;2022-12-14;Maciej Laskowski;14;
c67dfb973333d7a02730e472216b78b300fe27e7;commit c67dfb973333d7a02730e472216b78b300fe27e7 1670898265 -----sp;Issue #3701 Fixed Flaky Tests (#3702);;2022-12-13;priyanka-28;14;
004dfa86bf9dad829088472f7df838ebd63c63af;commit 004dfa86bf9dad829088472f7df838ebd63c63af 1670762181 -----sp;refactor ByteBuf release usage (#3695);;2022-12-11;Qiang Huang;14;
4e37cf68d1af0ad6754720a34db958a3d8ee4f0e;commit 4e37cf68d1af0ad6754720a34db958a3d8ee4f0e 1670762150 -----sp;module stream-storage-common/stream-storage-java-kv-client/stream-storage-cli: refactor ByteBuf release usage (#3694);;2022-12-11;StevenLuMT;14;
a71c7a7e681e9908c04245d3d719d8f1c0a79176;commit a71c7a7e681e9908c04245d3d719d8f1c0a79176 1670413730 -----sp;module distributedlog-common/distributedlog-protocol: refactor ByteBuf release usage (#3693);;2022-12-07;StevenLuMT;14;
